trade_id,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,holding_candles,spread_pct,fees_pct,cost_total_pct,pnl_gross_pct,pnl_net_pct,mae_pct,mfe_pct,ema50_at_entry,ema100_at_entry,stoch_k_at_entry,stoch_d_at_entry,volatility_regime,trend_regime,split,month,spec_hash
0,2025-05-30 12:22:00,2025-05-30 12:29:00,SHORT,105422.1,105501.16657500001,SL,7,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000414,-0.0016000000000000415,0.0012293437524009791,0.0015816417999641938,105682.08154456395,105759.58408018052,69.24128153139749,79.08691464488743,Low,Trending,train,2025-05,c555ac9efd53
1,2025-05-30 13:31:00,2025-05-30 13:32:00,SHORT,105536.25,105615.4021875,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000331,-0.0016000000000000333,0.0009152305487450664,0.0008789397008136518,105646.5820140277,105694.07536050762,70.29471077630322,78.36477324506464,High,Ranging,train,2025-05,c555ac9efd53
2,2025-05-30 14:10:00,2025-05-30 14:21:00,SHORT,105632.3,105421.03540000001,TP,11,5e-05,0.0008,0.0008500000000000001,0.0019999999999999523,0.0011499999999999523,0.0007061287125244505,0.0023954794130205265,105656.77880246396,105677.17073573745,54.63663906137895,74.54311698091102,Medium,Ranging,train,2025-05,c555ac9efd53
3,2025-05-30 14:35:00,2025-05-30 14:37:00,SHORT,105358.38,105437.39878500001,SL,2,5e-05,0.0008,0.0008500000000000001,-0.000750000000000071,-0.001600000000000071,0.0024741268800829914,0.0002687019295474899,105473.05540392663,105559.92702365012,72.90701960709642,82.09309320282317,Low,Trending,train,2025-05,c555ac9efd53
4,2025-05-30 14:59:00,2025-05-30 15:04:00,SHORT,105380.96,105459.99572,SL,5,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999986,-0.0015999999999999986,0.0011296158243386052,0.0008525259211911815,105426.80824754709,105500.764949413,56.30344914639411,71.01940253282706,Medium,Trending,train,2025-05,c555ac9efd53
5,2025-05-30 15:42:00,2025-05-30 15:57:00,LONG,105641.51,105562.27886749999,SL,15,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000436,-0.0016000000000000437,0.0007623897083636309,0.0011238006726711988,105565.51715068828,105548.68306859696,59.30652145664538,30.52298783481991,Low,Ranging,train,2025-05,c555ac9efd53
6,2025-05-31 12:12:00,2025-05-31 12:13:00,SHORT,103734.25,103812.0506875,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999921,-0.001599999999999992,0.001867657017812393,0.0,104816.8131678025,105138.67381369007,96.12418290854168,95.53568404014004,Low,Trending,train,2025-05,c555ac9efd53
7,2025-05-31 12:14:00,2025-05-31 12:44:00,SHORT,103872.01,103872.51,MAX_HOLD,30,5e-05,0.0008,0.0008500000000000001,-4.813616295670027e-06,-0.00085481361629567,0.0002943045003173327,0.0013109402619627584,104743.66863356161,105088.75548945948,86.2024784689803,90.98777309297678,Low,Trending,train,2025-05,c555ac9efd53
8,2025-05-31 12:50:00,2025-05-31 12:58:00,SHORT,103924.52,104002.46339,SL,8,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000035,-0.0016000000000000035,0.0008416685494433957,0.00033149058566733905,104060.54844625309,104448.54190696712,57.610847459529786,75.0468294304441,Low,Trending,train,2025-05,c555ac9efd53
9,2025-05-31 13:00:00,2025-05-31 13:03:00,SHORT,104033.95,104111.9754625,SL,3,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000853,-0.0016000000000000853,0.0011347257313598388,0.00040909722258933426,104033.44865215356,104363.07071221306,75.08492379810384,85.89549015058647,Medium,Trending,train,2025-05,c555ac9efd53
10,2025-05-31 14:24:00,2025-05-31 14:29:00,LONG,104369.29,104291.01303249999,SL,5,5e-05,0.0008,0.0008500000000000001,-0.000750000000000017,-0.0016000000000000172,0.0008842639439244398,0.0009575613669500131,104249.54366176848,104242.82070299756,49.670005186202026,26.39693397052763,Medium,Ranging,train,2025-05,c555ac9efd53
11,2025-05-31 14:32:00,2025-05-31 14:55:00,LONG,104352.77,104561.47554,TP,23,5e-05,0.0008,0.0008500000000000001,0.001999999999999956,0.0011499999999999557,0.0006201081197941022,0.0021206911900853507,104279.56835970584,104260.27775118605,32.33279578282887,26.765773558324344,Medium,Ranging,train,2025-05,c555ac9efd53
12,2025-06-01 12:15:00,2025-06-01 12:33:00,SHORT,104175.18,103966.82964,TP,18,5e-05,0.0008,0.0008500000000000001,0.001999999999999969,0.0011499999999999688,7.516185717175383e-05,0.002611754546524299,104355.69389221436,104407.04984723256,94.93116256311151,97.17384696366615,Low,Ranging,train,2025-06,c555ac9efd53
