trade_id,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,holding_candles,spread_pct,fees_pct,cost_total_pct,pnl_gross_pct,pnl_net_pct,mae_pct,mfe_pct,asia_high,asia_low,asia_range_pct,session_candle_num,split,month,spec_hash,asia_range_bucket
0,2019-01-03 12:05:00,2019-01-03 12:25:00,LONG,3803.64,3797.93454,SL,4,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999146,-0.0023499999999999147,0.0017930193183370953,0.0014275798971512266,3862.74,3805.0,1.5174770039421757,1,train,2019-01,5210f76300b0,Q2
1,2019-01-03 12:30:00,2019-01-03 12:50:00,LONG,3800.98,3814.2834300000004,TP,4,5e-05,0.0008,0.0008500000000000001,0.0035000000000001024,0.0026500000000001024,0.0008655662487042719,0.004214702524085889,3862.74,3805.0,1.5174770039421757,6,train,2019-01,5210f76300b0,Q2
2,2019-01-06 12:45:00,2019-01-06 12:50:00,SHORT,3792.64,3798.3289600000003,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000001072,-0.002350000000000107,0.00242047755653062,2.1093486331401673e-05,3792.12,3740.0,1.3935828877005318,9,train,2019-01,5210f76300b0,Q2
3,2019-01-06 12:55:00,2019-01-06 13:30:00,SHORT,3794.4,3800.0916,SL,7,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000284,-0.0023500000000000283,0.0033997469955724465,0.002477335020029541,3792.12,3740.0,1.3935828877005318,11,train,2019-01,5210f76300b0,Q2
4,2019-01-07 12:10:00,2019-01-07 12:55:00,LONG,3967.72,3961.76842,SL,9,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999803,-0.0023499999999999806,0.003200830703779455,0.0021372475880354507,4017.9,3970.03,1.2057843391611622,2,train,2019-01,5210f76300b0,Q1 (tight)
5,2019-01-07 13:00:00,2019-01-07 13:20:00,LONG,3956.87,3970.7190450000003,TP,4,5e-05,0.0008,0.0008500000000000001,0.003500000000000098,0.002650000000000098,0.0,0.003950091865540214,4017.9,3970.03,1.2057843391611622,12,train,2019-01,5210f76300b0,Q1 (tight)
6,2019-01-08 12:15:00,2019-01-08 13:00:00,SHORT,3996.98,4002.9754700000003,SL,9,5e-05,0.0008,0.0008500000000000001,-0.001500000000000074,-0.0023500000000000743,0.0027570815966054324,0.0020865753644001583,3989.0,3922.0,1.7083120856705762,3,train,2019-01,5210f76300b0,Q2
7,2019-01-10 12:30:00,2019-01-10 13:00:00,LONG,3732.08,3726.4818800000003,SL,6,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999072,-0.0023499999999999073,0.004303230370195694,0.001318299714904309,3996.01,3731.01,7.10263440730526,6,train,2019-01,5210f76300b0,Q4 (wide)
8,2019-01-15 12:30:00,2019-01-15 12:35:00,LONG,3605.14,3599.73229,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999866,-0.0023499999999999866,0.0020359819590916556,0.00018584576465825815,3648.42,3610.12,1.060906562662742,6,train,2019-01,5210f76300b0,Q1 (tight)
9,2019-01-15 12:45:00,2019-01-15 12:50:00,LONG,3607.96,3602.54806,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999885,-0.0023499999999999884,0.002239492677302389,0.0,3648.42,3610.12,1.060906562662742,9,train,2019-01,5210f76300b0,Q1 (tight)
10,2019-01-24 12:10:00,2019-01-24 12:15:00,SHORT,3556.51,3561.8447650000003,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000172,-0.002350000000000017,0.0023871716935984382,0.0,3555.0,3529.22,0.7304730223675543,2,train,2019-01,5210f76300b0,Q1 (tight)
11,2019-01-25 12:50:00,2019-01-25 14:50:00,LONG,3548.9,3561.32115,TP,24,5e-05,0.0008,0.0008500000000000001,0.003500000000000035,0.002650000000000035,0.0013807095156245853,0.0036349291329708052,3587.15,3551.0,1.0180230920867388,10,train,2019-01,5210f76300b0,Q1 (tight)
12,2019-02-02 12:10:00,2019-02-02 12:25:00,SHORT,3470.28,3475.4854200000004,SL,3,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000666,-0.0023500000000000664,0.0027260048180549066,0.00033138536371707497,3471.0,3440.29,0.8926573050527729,2,train,2019-02,5210f76300b0,Q1 (tight)
13,2019-02-02 12:30:00,2019-02-02 14:15:00,SHORT,3472.01,3459.8579650000006,TP,21,5e-05,0.0008,0.0008500000000000001,0.0034999999999998886,0.0026499999999998886,0.0008611726348713804,0.0038536755366488313,3471.0,3440.29,0.8926573050527729,6,train,2019-02,5210f76300b0,Q1 (tight)
14,2019-02-03 12:05:00,2019-02-03 13:10:00,LONG,3458.56,3470.66496,TP,13,5e-05,0.0008,0.0008500000000000001,0.0035000000000000343,0.0026500000000000343,0.0007401924500369939,0.004169365284974114,3511.09,3457.38,1.5534884797158552,1,train,2019-02,5210f76300b0,Q2
15,2019-02-05 12:05:00,2019-02-05 13:05:00,SHORT,3470.53,3458.3831450000002,TP,12,5e-05,0.0008,0.0008500000000000001,0.003499999999999988,0.002649999999999988,0.0,0.0036219251814564816,3471.89,3448.43,0.6803095901613209,1,train,2019-02,5210f76300b0,Q1 (tight)
16,2019-02-13 12:50:00,2019-02-13 12:55:00,LONG,3623.77,3618.334345,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999365,-0.0023499999999999363,0.0015922644097169471,0.0,3670.0,3624.0,1.2693156732891833,10,train,2019-02,5210f76300b0,Q2
17,2019-02-13 13:00:00,2019-02-13 13:45:00,LONG,3621.44,3616.00784,SL,9,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999558,-0.002349999999999956,0.0023498939648317293,0.0013005876115578434,3670.0,3624.0,1.2693156732891833,12,train,2019-02,5210f76300b0,Q2
18,2019-02-28 12:05:00,2019-02-28 13:35:00,SHORT,3838.0,3824.567,TP,18,5e-05,0.0008,0.0008500000000000001,0.003499999999999998,0.002649999999999998,0.0001615424700364489,0.0036190724335591123,3833.95,3809.88,0.6317784287169073,1,train,2019-02,5210f76300b0,Q1 (tight)
19,2019-03-04 12:45:00,2019-03-04 13:10:00,LONG,3698.29,3692.742565,SL,5,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999866,-0.0023499999999999866,0.001971181275670638,0.0014439105640715426,3830.0,3699.5,3.5275037167184755,9,train,2019-03,5210f76300b0,Q4 (wide)
20,2019-03-13 12:45:00,2019-03-13 13:00:00,LONG,3865.0,3878.5275,TP,3,5e-05,0.0008,0.0008500000000000001,0.003500000000000038,0.0026500000000000377,0.0014540750323414984,0.005692108667529107,3893.56,3870.0,0.6087855297157609,9,train,2019-03,5210f76300b0,Q1 (tight)
21,2019-04-13 12:10:00,2019-04-13 14:15:00,LONG,5028.7,5046.30045,TP,25,5e-05,0.0008,0.0008500000000000001,0.0034999999999999823,0.0026499999999999822,0.0007357766420744563,0.003698769065563737,5099.0,5030.01,1.3715678497657018,2,train,2019-04,5210f76300b0,Q2
22,2019-04-15 12:25:00,2019-04-15 14:25:00,LONG,5110.52,5128.406820000001,TP,24,5e-05,0.0008,0.0008500000000000001,0.003500000000000122,0.002650000000000122,0.0013149346837504313,0.0049955777494266225,5167.38,5113.0,1.0635634656757307,5,train,2019-04,5210f76300b0,Q1 (tight)
23,2019-04-28 12:10:00,2019-04-28 13:30:00,SHORT,5326.25,5307.608125000001,TP,16,5e-05,0.0008,0.0008500000000000001,0.003499999999999877,0.002649999999999877,0.0011095986857544904,0.004552921849331143,5321.54,5280.0,0.7867424242424235,2,train,2019-04,5210f76300b0,Q1 (tight)
24,2019-04-30 12:05:00,2019-04-30 12:25:00,SHORT,5268.86,5276.76329,SL,4,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000375,-0.002350000000000038,0.002427470078916495,0.0026912842626297495,5264.01,5192.15,1.3840124033396684,1,train,2019-04,5210f76300b0,Q2
25,2019-05-08 12:50:00,2019-05-08 13:10:00,SHORT,5923.41,5932.295115,SL,4,5e-05,0.0008,0.0008500000000000001,-0.001500000000000007,-0.002350000000000007,0.0024276556915695706,0.0026015420171826456,5928.65,5772.2,2.710405044870237,10,train,2019-05,5210f76300b0,Q3
26,2019-05-16 12:40:00,2019-05-16 12:45:00,LONG,7868.18,7856.377730000001,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999016,-0.0023499999999999016,0.004214443492650124,0.0,8320.0,7870.01,5.717781807138743,8,train,2019-05,5210f76300b0,Q4 (wide)
27,2019-05-22 12:10:00,2019-05-22 12:15:00,LONG,7830.02,7818.274970000001,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999998892,-0.0023499999999998895,0.0015389488149455787,0.0017688332852278095,7988.0,7830.23,2.014883343145737,2,train,2019-05,5210f76300b0,Q3
28,2019-05-22 12:25:00,2019-05-22 12:30:00,LONG,7830.21,7818.464685000001,SL,1,5e-05,0.0008,0.0008500000000000001,-0.001499999999999899,-0.002349999999999899,0.003795555930173042,0.0,7988.0,7830.23,2.014883343145737,5,train,2019-05,5210f76300b0,Q3
29,2019-05-22 12:35:00,2019-05-22 12:40:00,LONG,7820.91,7809.178635,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999543,-0.0023499999999999546,0.0016609320398776847,0.0015637566472444348,7988.0,7830.23,2.014883343145737,7,train,2019-05,5210f76300b0,Q3
30,2019-05-22 12:45:00,2019-05-22 12:50:00,LONG,7811.51,7799.792735000001,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999124,-0.0023499999999999125,0.004415279504218747,7.296924666289986e-05,7988.0,7830.23,2.014883343145737,9,train,2019-05,5210f76300b0,Q3
31,2019-05-25 12:10:00,2019-05-25 12:15:00,SHORT,8033.64,8005.522260000001,TP,1,5e-05,0.0008,0.0008500000000000001,0.0034999999999999606,0.0026499999999999605,0.0,0.004457506186485877,8033.48,7908.34,1.5823801202274994,2,train,2019-05,5210f76300b0,Q2
32,2019-05-25 12:25:00,2019-05-25 12:55:00,SHORT,8029.6,8041.644400000001,SL,6,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000844,-0.0023500000000000847,0.003163295805519532,0.002419796752017571,8033.48,7908.34,1.5823801202274994,5,train,2019-05,5210f76300b0,Q2
33,2019-05-25 13:00:00,2019-05-25 13:05:00,SHORT,8048.51,8020.340215000001,TP,1,5e-05,0.0008,0.0008500000000000001,0.003499999999999893,0.002649999999999893,0.0,0.0071006931717796885,8033.48,7908.34,1.5823801202274994,12,train,2019-05,5210f76300b0,Q2
34,2019-05-26 12:20:00,2019-05-26 12:25:00,LONG,7908.7,7936.380450000001,TP,1,5e-05,0.0008,0.0008500000000000001,0.0035000000000000946,0.0026500000000000946,0.0,0.0037288049869131186,8047.5,7919.64,1.614467324272311,4,train,2019-05,5210f76300b0,Q2
35,2019-05-26 12:35:00,2019-05-26 12:40:00,LONG,7916.17,7943.876595000001,TP,1,5e-05,0.0008,0.0008500000000000001,0.0035000000000000708,0.0026500000000000707,0.0,0.0038806645132684436,8047.5,7919.64,1.614467324272311,7,train,2019-05,5210f76300b0,Q2
36,2019-06-17 12:35:00,2019-06-17 12:50:00,SHORT,9221.34,9235.17201,SL,3,5e-05,0.0008,0.0008500000000000001,-0.001500000000000009,-0.002350000000000009,0.0023521527240076287,0.002817377951577489,9212.66,8950.0,2.9347486033519536,7,train,2019-06,5210f76300b0,Q4 (wide)
37,2019-06-17 12:55:00,2019-06-17 13:00:00,SHORT,9236.8,9250.6552,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999966,-0.0023499999999999966,0.0015362463190715951,0.00212844275073617,9212.66,8950.0,2.9347486033519536,11,train,2019-06,5210f76300b0,Q4 (wide)
38,2019-06-21 12:15:00,2019-06-21 12:30:00,SHORT,9794.19,9808.881285000001,SL,3,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000805,-0.0023500000000000803,0.003145742526947046,0.0014529021797618162,9798.0,9518.06,2.941145569580361,3,train,2019-06,5210f76300b0,Q4 (wide)
39,2019-06-21 12:35:00,2019-06-21 12:50:00,SHORT,9822.89,9837.624335,SL,3,5e-05,0.0008,0.0008500000000000001,-0.001500000000000103,-0.002350000000000103,0.0024402187136373476,0.0021052867333341096,9798.0,9518.06,2.941145569580361,7,train,2019-06,5210f76300b0,Q4 (wide)
40,2019-06-24 12:50:00,2019-06-24 12:55:00,SHORT,10902.26,10918.61339,SL,1,5e-05,0.0008,0.0008500000000000001,-0.00150000000000002,-0.00235000000000002,0.0022609990956003285,0.00020729646880557042,10905.96,10620.8,2.6849201566736958,10,train,2019-06,5210f76300b0,Q3
41,2019-06-24 13:00:00,2019-06-24 13:05:00,SHORT,10900.01,10916.360015,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999985,-0.002349999999999999,0.0021220164018197415,0.0007623846216654379,10905.96,10620.8,2.6849201566736958,12,train,2019-06,5210f76300b0,Q3
42,2019-06-27 12:35:00,2019-06-27 12:40:00,LONG,12101.42,12083.267870000001,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999998825,-0.0023499999999998826,0.016231153038238494,0.0,13478.04,12100.0,11.388760330578519,7,train,2019-06,5210f76300b0,Q4 (wide)
43,2019-06-28 12:50:00,2019-06-28 12:55:00,SHORT,11807.85,11766.522525,TP,1,5e-05,0.0008,0.0008500000000000001,0.003500000000000004,0.002650000000000004,0.0,0.011497436027727336,11771.98,10982.88,7.184818553967634,10,train,2019-06,5210f76300b0,Q4 (wide)
44,2019-06-30 12:30:00,2019-06-30 12:40:00,LONG,11655.02,11637.537470000001,SL,2,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999413,-0.0023499999999999415,0.0032132076993433498,0.0029927018572254013,12180.0,11651.98,4.531590339152663,6,train,2019-06,5210f76300b0,Q4 (wide)
45,2019-06-30 12:45:00,2019-06-30 12:50:00,LONG,11620.0,11660.67,TP,1,5e-05,0.0008,0.0008500000000000001,0.003500000000000006,0.002650000000000006,0.0,0.006213425129087843,12180.0,11651.98,4.531590339152663,9,train,2019-06,5210f76300b0,Q4 (wide)
46,2019-06-30 13:00:00,2019-06-30 13:05:00,LONG,11648.0,11688.768,TP,1,5e-05,0.0008,0.0008500000000000001,0.0035000000000000027,0.0026500000000000026,0.0,0.0036006181318681755,12180.0,11651.98,4.531590339152663,12,train,2019-06,5210f76300b0,Q4 (wide)
47,2019-07-07 12:05:00,2019-07-07 12:10:00,SHORT,11326.68,11343.670020000001,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000967,-0.002350000000000097,0.006296637673175167,0.0,11324.99,11094.37,2.078711995363405,1,train,2019-07,5210f76300b0,Q3
48,2019-07-07 12:50:00,2019-07-07 12:55:00,SHORT,11327.29,11287.644485,TP,1,5e-05,0.0008,0.0008500000000000001,0.003500000000000014,0.002650000000000014,0.0,0.0035207008913871736,11324.99,11094.37,2.078711995363405,10,train,2019-07,5210f76300b0,Q3
49,2019-07-17 12:10:00,2019-07-17 12:15:00,LONG,9213.41,9199.589885000001,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999998506,-0.0023499999999998505,0.008205430996775393,0.0,9630.0,9214.0,4.514868678098546,2,train,2019-07,5210f76300b0,Q4 (wide)
50,2019-07-21 12:35:00,2019-07-21 12:40:00,LONG,10530.51,10567.366785,TP,1,5e-05,0.0008,0.0008500000000000001,0.003499999999999995,0.002649999999999995,0.0013674551375004284,0.004938032440973894,10817.9,10530.0,2.7340930674263975,7,train,2019-07,5210f76300b0,Q3
51,2019-07-22 12:25:00,2019-07-22 12:30:00,LONG,10500.07,10484.319895,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999207,-0.0023499999999999207,0.0019114158286563528,0.0019323680699272362,10683.16,10511.0,1.6379031490819127,5,train,2019-07,5210f76300b0,Q2
52,2019-07-22 12:35:00,2019-07-22 12:45:00,LONG,10485.89,10522.590615,TP,2,5e-05,0.0008,0.0008500000000000001,0.003499999999999976,0.0026499999999999757,9.918089928456757e-05,0.0046538729664340455,10683.16,10511.0,1.6379031490819127,7,train,2019-07,5210f76300b0,Q2
53,2019-07-29 12:05:00,2019-07-29 12:30:00,LONG,9495.31,9481.067035,SL,5,5e-05,0.0008,0.0008500000000000001,-0.001499999999999943,-0.0023499999999999433,0.001991509492581059,0.002161066884598864,9729.0,9493.25,2.483343428225318,1,train,2019-07,5210f76300b0,Q3
54,2019-07-29 12:35:00,2019-07-29 12:50:00,LONG,9493.89,9527.118615,TP,3,5e-05,0.0008,0.0008500000000000001,0.003499999999999999,0.002649999999999999,0.0,0.0035148922096212196,9729.0,9493.25,2.483343428225318,7,train,2019-07,5210f76300b0,Q3
55,2019-08-09 12:20:00,2019-08-09 12:25:00,LONG,11770.8,11753.1438,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999528,-0.002349999999999953,0.003716824684813267,0.0,12045.68,11778.0,2.2727118356257456,4,train,2019-08,5210f76300b0,Q3
56,2019-08-09 12:40:00,2019-08-09 12:45:00,LONG,11772.13,11754.471805,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999983,-0.0023499999999999984,0.002312240860404986,0.0,12045.68,11778.0,2.2727118356257456,8,train,2019-08,5210f76300b0,Q3
57,2019-08-09 12:55:00,2019-08-09 13:00:00,LONG,11774.15,11815.359525,TP,1,5e-05,0.0008,0.0008500000000000001,0.0035000000000000183,0.0026500000000000182,0.0007856193440715466,0.009753570321424489,12045.68,11778.0,2.2727118356257456,11,train,2019-08,5210f76300b0,Q3
58,2019-08-20 12:05:00,2019-08-20 12:10:00,LONG,10680.25,10664.229625,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000055,-0.0023500000000000057,0.0028323307038692915,0.0004447461435827813,10949.96,10714.0,2.2023520627216646,1,train,2019-08,5210f76300b0,Q3
59,2019-08-30 12:40:00,2019-08-30 12:50:00,SHORT,9555.35,9569.683025,SL,2,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999903,-0.00234999999999999,0.0044969572019862535,0.0004552423511436382,9554.0,9350.41,2.177337678240849,8,train,2019-08,5210f76300b0,Q3
60,2019-08-31 12:05:00,2019-08-31 12:15:00,LONG,9560.61,9546.269085000002,SL,2,5e-05,0.0008,0.0008500000000000001,-0.0014999999999998806,-0.002349999999999881,0.0015689375468720091,0.0004591757220511471,9655.77,9566.42,0.9339962075677252,1,train,2019-08,5210f76300b0,Q1 (tight)
61,2019-08-31 12:30:00,2019-08-31 12:45:00,LONG,9564.98,9598.45743,TP,3,5e-05,0.0008,0.0008500000000000001,0.003500000000000086,0.002650000000000086,0.0005196038047125394,0.003661272684313029,9655.77,9566.42,0.9339962075677252,6,train,2019-08,5210f76300b0,Q1 (tight)
62,2019-09-01 12:25:00,2019-09-01 13:35:00,LONG,9574.49,9560.128265000001,SL,14,5e-05,0.0008,0.0008500000000000001,-0.0014999999999998526,-0.0023499999999998526,0.0023343279903159713,0.001096664156524264,9642.58,9579.34,0.6601707424519829,5,train,2019-09,5210f76300b0,Q1 (tight)
63,2019-09-02 12:10:00,2019-09-02 12:25:00,SHORT,9797.99,9812.686985,SL,3,5e-05,0.0008,0.0008500000000000001,-0.0015000000000000506,-0.002350000000000051,0.0017513796196974947,0.0005766488841078258,9793.0,9712.5,0.8288288288288289,2,train,2019-09,5210f76300b0,Q1 (tight)
64,2019-09-07 12:05:00,2019-09-07 14:35:00,SHORT,10400.0,10415.6,SL,30,5e-05,0.0008,0.0008500000000000001,-0.001500000000000035,-0.0023500000000000352,0.0019971153846154266,0.0031009615384615385,10394.29,10288.57,1.0275480460355635,1,train,2019-09,5210f76300b0,Q1 (tight)
65,2019-09-09 12:40:00,2019-09-09 12:45:00,SHORT,10405.13,10368.712045,TP,1,5e-05,0.0008,0.0008500000000000001,0.0034999999999999025,0.0026499999999999024,0.0,0.0047005659708239935,10404.74,10090.0,3.1193260654112964,8,train,2019-09,5210f76300b0,Q4 (wide)
66,2019-09-18 12:20:00,2019-09-18 12:25:00,LONG,10175.62,10211.234670000002,TP,1,5e-05,0.0008,0.0008500000000000001,0.0035000000000000825,0.0026500000000000824,0.0,0.003967325823880902,10258.02,10182.28,0.7438412614856376,4,train,2019-09,5210f76300b0,Q1 (tight)
67,2019-09-18 12:40:00,2019-09-18 14:15:00,LONG,10183.06,10167.78541,SL,19,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999096,-0.0023499999999999095,0.0020632305024226726,0.002032787786775363,10258.02,10182.28,0.7438412614856376,8,train,2019-09,5210f76300b0,Q1 (tight)
68,2019-09-25 12:05:00,2019-09-25 12:10:00,LONG,8307.03,8294.569455,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999892,-0.0023499999999999893,0.003550005236528552,0.0004309602830373704,8730.0,8310.0,5.054151624548736,1,train,2019-09,5210f76300b0,Q4 (wide)
69,2019-09-25 12:15:00,2019-09-25 12:20:00,LONG,8283.94,8312.933790000001,TP,1,5e-05,0.0008,0.0008500000000000001,0.0035000000000000534,0.0026500000000000534,0.00017503748216437197,0.004232285603227388,8730.0,8310.0,5.054151624548736,3,train,2019-09,5210f76300b0,Q4 (wide)
70,2019-09-25 12:25:00,2019-09-25 12:30:00,LONG,8290.67,8319.687345,TP,1,5e-05,0.0008,0.0008500000000000001,0.003500000000000025,0.0026500000000000247,0.0,0.008220083539689753,8730.0,8310.0,5.054151624548736,5,train,2019-09,5210f76300b0,Q4 (wide)
71,2019-09-25 12:50:00,2019-09-25 13:00:00,LONG,8304.4,8291.9434,SL,2,5e-05,0.0008,0.0008500000000000001,-0.001499999999999943,-0.0023499999999999433,0.002473387601753174,0.0034897162949761047,8730.0,8310.0,5.054151624548736,10,train,2019-09,5210f76300b0,Q4 (wide)
72,2019-10-03 12:10:00,2019-10-03 12:20:00,LONG,8239.91,8227.550135,SL,2,5e-05,0.0008,0.0008500000000000001,-0.001500000000000043,-0.002350000000000043,0.0019053606168029417,0.0003361687202894736,8393.0,8241.0,1.8444363548113092,2,train,2019-10,5210f76300b0,Q3
73,2019-10-03 12:25:00,2019-10-03 12:50:00,LONG,8240.08,8227.71988,SL,5,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999235,-0.0023499999999999233,0.0017863904233938683,0.0008883408898942376,8393.0,8241.0,1.8444363548113092,5,train,2019-10,5210f76300b0,Q3
74,2019-10-03 12:55:00,2019-10-03 13:05:00,LONG,8228.19,8215.847715000002,SL,2,5e-05,0.0008,0.0008500000000000001,-0.0014999999999998554,-0.0023499999999998557,0.001516736973745305,0.00045453495847808345,8393.0,8241.0,1.8444363548113092,11,train,2019-10,5210f76300b0,Q3
75,2019-10-05 12:35:00,2019-10-05 12:45:00,LONG,8081.1,8068.978350000001,SL,2,5e-05,0.0008,0.0008500000000000001,-0.001499999999999893,-0.002349999999999893,0.0028857457524347698,0.0,8149.99,8091.72,0.7201188375277385,7,train,2019-10,5210f76300b0,Q1 (tight)
76,2019-10-08 12:10:00,2019-10-08 12:15:00,LONG,8168.67,8156.4169950000005,SL,1,5e-05,0.0008,0.0008500000000000001,-0.001499999999999948,-0.002349999999999948,0.002893983965566038,0.0,8325.0,8186.45,1.6924307850167069,2,train,2019-10,5210f76300b0,Q2
77,2019-10-08 12:30:00,2019-10-08 12:55:00,LONG,8188.34,8216.99919,TP,5,5e-05,0.0008,0.0008500000000000001,0.0035000000000000374,0.0026500000000000373,0.0,0.004880110010087408,8325.0,8186.45,1.6924307850167069,6,train,2019-10,5210f76300b0,Q2
78,2019-10-11 12:50:00,2019-10-11 12:55:00,LONG,8350.29,8337.764565000001,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0014999999999999473,-0.0023499999999999476,0.0017292812584952747,0.0003808250970922533,8779.51,8359.0,5.030625672927386,10,train,2019-10,5210f76300b0,Q4 (wide)
