dev_bin,n,p_cont,dev_atr_mean,dev_atr_mid,p_cont_pct
"(0.199, 0.266]",3527,0.8307343351290049,0.23346623468333805,0.23341273966039355,83.07343351290048
"(0.266, 0.334]",3526,0.7768009075439591,0.2995316814766597,0.29937993679596664,77.68009075439592
"(0.334, 0.401]",3526,0.738230289279637,0.36676098251032974,0.3663313100252423,73.82302892796369
"(0.401, 0.472]",3526,0.690300623936472,0.43614482364968576,0.4359851471171988,69.0300623936472
"(0.472, 0.548]",3526,0.6403857061826432,0.5094362680311465,0.5092831239867179,64.03857061826432
"(0.548, 0.623]",3526,0.5981281905842314,0.5848174905555903,0.5848036950897089,59.81281905842314
"(0.623, 0.705]",3526,0.5706182643221781,0.6639508574700403,0.6634605191404375,57.06182643221781
"(0.705, 0.791]",3526,0.5391378332387975,0.746920043010298,0.7470593089003121,53.91378332387975
"(0.791, 0.884]",3526,0.5065229722064662,0.8364393944186637,0.8366076627420227,50.65229722064662
"(0.884, 0.982]",3526,0.48298355076574023,0.9333419665946892,0.933911908120173,48.298355076574026
"(0.982, 1.09]",3526,0.4356211003970505,1.0348770750768879,1.0346832890770419,43.56211003970505
"(1.09, 1.204]",3526,0.4339194554736245,1.146055514822356,1.146215072710457,43.39194554736245
"(1.204, 1.335]",3526,0.4115144639818491,1.2680183345880494,1.2676532942138201,41.15144639818491
"(1.335, 1.479]",3526,0.3979013045944413,1.4052731381490524,1.403836248648183,39.79013045944413
"(1.479, 1.647]",3526,0.38003403289846854,1.560318509637856,1.5583847304526723,38.00340328984685
"(1.647, 1.841]",3526,0.3550765740215542,1.7405186131148334,1.7397996601066024,35.50765740215542
"(1.841, 2.081]",3526,0.34231423709585934,1.9556940583748421,1.9538049126622492,34.23142370958593
"(2.081, 2.411]",3526,0.3352240499149178,2.237226325659139,2.2340327834584555,33.522404991491776
"(2.411, 2.947]",3526,0.3043108338060125,2.6478334401090016,2.633757731362921,30.431083380601248
"(2.947, 8.702]",3526,0.2631877481565513,3.6245317370810857,3.4274745147916468,26.318774815655132
