threshold,horizon,n_events,n_reverted,pct_reverted,mean_price_comp_pct,mean_vwap_comp_pct,mean_gap_red_pct,vwap_fraction_of_reversion,price_fraction_of_reversion
1.0,1,39383,23238,59.0,2.73438,912.41573,915.15011,0.7477,0.2523
1.0,3,36995,23626,63.9,73.53994,2339.51611,2413.05605,11.5172,-10.5172
1.0,5,34646,23013,66.4,175.43598,3476.08867,3651.52465,2.2014,-1.2014
1.0,10,29041,20253,69.7,383.68758,5537.57323,5921.26081,5.047,-4.047
1.0,20,18704,13403,71.7,1207.65419,7437.40656,8645.06075,32.5067,-31.5067
1.5,1,24179,14601,60.4,45.58894,1129.92516,1175.51411,0.8358,0.1642
1.5,3,22399,14739,65.8,100.10045,2896.55663,2996.65708,17.6732,-16.6732
1.5,5,20679,14197,68.7,121.42613,4324.69744,4446.12357,2.1215,-1.1215
1.5,10,16693,12120,72.6,245.45636,7010.63282,7256.08918,2.6727,-1.6727
1.5,20,9731,7276,74.8,1310.69407,9629.3926,10940.08667,56.5718,-55.5718
2.0,1,14119,8733,61.9,46.78051,1400.9091,1447.6896,0.9731,0.0269
2.0,3,12836,8681,67.6,66.91399,3579.23293,3646.14693,28.8383,-27.8383
2.0,5,11683,8233,70.5,73.3559,5343.32312,5416.67902,2.6704,-1.6704
2.0,10,9034,6761,74.8,-128.51096,8763.36313,8634.85218,2.9911,-1.9911
2.0,20,4736,3648,77.0,847.10579,12181.79331,13028.89909,111.0263,-110.0263
2.5,1,7882,4963,63.0,177.85232,1723.48739,1901.33971,1.1238,-0.1238
2.5,3,7040,4892,69.5,78.22259,4346.24584,4424.46843,49.7474,-48.7474
2.5,5,6295,4569,72.6,151.08721,6525.03612,6676.12333,2.9191,-1.9191
2.5,10,4612,3547,76.9,-411.73265,10817.48424,10405.75159,2.7078,-1.7078
2.5,20,2177,1715,78.8,190.89619,15078.10592,15269.00211,2.9621,-1.9621
