delta_ticks,arrival_ts,filled,time_to_fill_ms,reached,queue_consumed,queue_remaining,through_volume
1,1775001674957,True,1369,True,5.000,0.000,5.288
1,1775001697018,False,,False,0,5,0
1,1775001810399,True,24899,True,5.000,0.000,5.030
1,1775001812069,True,5075,True,5.000,0.000,5.117
1,1775001817176,True,6343,True,5.000,0.000,5.041
1,1775001838910,False,,True,4.178,0.822,4.178
1,1775001914120,True,20123,True,5.000,0.000,5.082
1,1775002202481,True,2678,True,5.000,0.000,5.062
1,1775002238308,True,4723,True,5.000,0.000,5.034
1,1775002308450,True,13804,True,5.000,0.000,5.754
1,1775002316090,True,6164,True,5.000,0.000,5.754
1,1775002495210,False,,False,0,5,0
1,1775002584669,True,17696,True,5.000,0.000,6.522
1,1775002588392,True,13369,True,5.000,0.000,5.017
1,1775002660667,False,,False,0,5,0
1,1775002689001,True,11798,True,5.000,0.000,5.033
1,1775002704240,True,10726,True,5.000,0.000,5.108
1,1775002809834,False,,False,0,5,0
1,1775002938851,True,7113,True,5.000,0.000,5.011
1,1775002939463,True,6502,True,5.000,0.000,5.439
1,1775002955275,True,7919,True,5.000,0.000,6.228
1,1775002989500,True,11918,True,5.000,0.000,5.821
1,1775003003423,True,287,True,5.000,0.000,5.547
1,1775003050303,True,19581,True,5.000,0.000,5.010
1,1775003051395,True,15603,True,5.000,0.000,5.053
1,1775003196304,True,2420,True,5.000,0.000,10.089
1,1775003220804,True,30026,True,5.000,0.000,5.125
1,1775003244626,False,,True,2.609,2.391,2.609
1,1775003354801,True,20000,True,5.000,0.000,5.106
1,1775003538420,True,1236,True,5.000,0.000,5.081
1,1775003601902,True,2896,True,5.000,0.000,5.849
1,1775003685724,False,,True,0.342,4.658,0.342
1,1775003689323,False,,False,0,5,0
1,1775003703067,False,,False,0,5,0
1,1775003706015,False,,True,0.193,4.807,0.193
1,1775003733389,True,42270,True,5.000,0.000,5.038
1,1775003786620,False,,False,0,5,0
1,1775003790952,False,,False,0,5,0
1,1775003798582,True,22447,True,5.000,0.000,5.114
1,1775003951964,True,39736,True,5.000,0.000,5.788
1,1775004002644,True,22857,True,5.000,0.000,5.053
1,1775004066229,True,13936,True,5.000,0.000,5.024
1,1775004086270,False,,False,0,5,0
1,1775004103928,False,,True,0.048,4.952,0.048
1,1775004183163,True,51606,True,5.000,0.000,5.021
1,1775004237426,False,,True,4.374,0.626,4.374
1,1775004258247,False,,False,0,5,0
1,1775004271650,False,,True,3.010,1.990,3.010
1,1775004424490,True,10823,True,5.000,0.000,5.012
1,1775004473637,True,27311,True,5.000,0.000,5.020
1,1775004548354,False,,False,0,5,0
1,1775004574792,False,,False,0,5,0
1,1775004745368,True,37013,True,5.000,0.000,5.012
1,1775004750711,True,31665,True,5.000,0.000,5.404
1,1775004762715,True,19666,True,5.000,0.000,5.423
1,1775004770226,True,12150,True,5.000,0.000,5.069
1,1775004798231,True,15523,True,5.000,0.000,5.221
1,1775004919801,True,51175,True,5.000,0.000,5.107
1,1775004932193,True,22808,True,5.000,0.000,5.069
1,1775004948174,True,13017,True,5.000,0.000,5.085
1,1775005104051,False,,False,0,5,0
1,1775005194984,True,8084,True,5.000,0.000,5.014
1,1775005215839,True,3564,True,5.000,0.000,5.029
1,1775005229125,True,18679,True,5.000,0.000,5.216
1,1775005278752,True,7568,True,5.000,0.000,20.963
1,1775005297952,True,3513,True,5.000,0.000,5.035
1,1775005377522,False,,True,4.145,0.855,4.145
1,1775005384529,False,,True,0.421,4.579,0.421
1,1775005397967,True,50667,True,5.000,0.000,5.528
1,1775005527006,True,15620,True,5.000,0.000,26.381
1,1775005709059,True,21536,True,5.000,0.000,5.158
1,1775005837068,True,12419,True,5.000,0.000,5.034
1,1775005937160,False,,True,2.736,2.264,2.736
1,1775005970470,False,,False,0,5,0
1,1775006049823,True,2346,True,5.000,0.000,5.190
1,1775006108647,True,849,True,5.000,0.000,5.038
1,1775006118363,True,7340,True,5.000,0.000,5.713
1,1775006297149,True,27526,True,5.000,0.000,5.506
1,1775006299721,True,23474,True,5.000,0.000,5.498
1,1775006318412,True,11831,True,5.000,0.000,5.091
